license_id,brand_name,ingredient,drugbank_id,potential_indication,source
EMEA/H/C/006113,Emblaveo,AZTREONAM,DB00355,urinary tract infection (disease),TxGNN Knowledge Graph
EMEA/H/C/006113,Emblaveo,AZTREONAM,DB00355,rhinoscleroma,TxGNN Knowledge Graph
EMEA/H/C/006113,Emblaveo,AZTREONAM,DB00355,escherichia coli infection,TxGNN Knowledge Graph
EMEA/H/C/006113,Emblaveo,AZTREONAM,DB00355,endometritis,TxGNN Knowledge Graph
EMEA/H/C/006113,Emblaveo,AZTREONAM,DB00355,Pseudomonas aeruginosa infectious disease,TxGNN Knowledge Graph
EMEA/H/C/004280,Semglee,INSULIN GLARGINE,DB00047,IDDM 1,TxGNN Knowledge Graph
EMEA/H/C/004280,Semglee,INSULIN GLARGINE,DB00047,diabetic ketoacidosis,TxGNN Knowledge Graph
EMEA/H/C/004280,Semglee,INSULIN GLARGINE,DB00047,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/004280,Semglee,INSULIN GLARGINE,DB00047,type 1 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/004280,Semglee,INSULIN GLARGINE,DB00047,type 2 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/000387,Vfend,VORICONAZOLE,DB00582,disseminated candidiasis,TxGNN Knowledge Graph
EMEA/H/C/000387,Vfend,VORICONAZOLE,DB00582,fusariosis,TxGNN Knowledge Graph
EMEA/H/C/000387,Vfend,VORICONAZOLE,DB00582,esophageal candidiasis,TxGNN Knowledge Graph
EMEA/H/C/000387,Vfend,VORICONAZOLE,DB00582,candidemia,TxGNN Knowledge Graph
EMEA/H/C/006208,Apremilast Accord,APREMILAST,DB05676,psoriatic arthritis,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,desmoplastic small round cell tumor,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,malignant dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,malignant germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,ovarian epithelial tumor,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,maligant granulosa cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,primary malignant peritoneal tumor,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,malignant sex cord stromal tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,borderline epithelial tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,malignant Sertoli-Leydig cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,yolk sac tumor,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,immature ovarian teratoma,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,"theca steroid-producing cell malignant tumor of ovary, not further specified",TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,ovarian carcinosarcoma,TxGNN Knowledge Graph
EMEA/H/C/003726,Lynparza,OLAPARIB,DB09074,malignant non-dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/004534,Kigabeq,VIGABATRIN,DB01080,developmental and epileptic encephalopathy,TxGNN Knowledge Graph
EMEA/H/C/004534,Kigabeq,VIGABATRIN,DB01080,West syndrome,TxGNN Knowledge Graph
EMEA/H/C/000791,Soliris,ECULIZUMAB,DB01257,paroxysmal nocturnal hemoglobinuria,TxGNN Knowledge Graph
EMEA/H/C/000791,Soliris,ECULIZUMAB,DB01257,neuromyelitis optica,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,hidradenitis,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,psoriatic arthritis,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,ulcerative colitis (disease),TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,rheumatoid arthritis,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,dyshidrosis,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,Crohn disease,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,"spondyloarthropathy, susceptibility to",TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,hidradenitis suppurativa,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,spondyloarthropathy,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,inflammatory bowel disease,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,ankylosing spondylitis,TxGNN Knowledge Graph
EMEA/H/C/004429,Hulio,ADALIMUMAB,DB00051,juvenile arthritis due to defect in LACC1,TxGNN Knowledge Graph
EMEA/H/C/006534,Vevzuo,DENOSUMAB,DB06643,osteoporosis,TxGNN Knowledge Graph
EMEA/H/C/006534,Vevzuo,DENOSUMAB,DB06643,drug-induced osteoporosis,TxGNN Knowledge Graph
EMEA/H/C/006534,Vevzuo,DENOSUMAB,DB06643,postmenopausal osteoporosis,TxGNN Knowledge Graph
EMEA/H/C/001252,Bronchitol,MANNITOL,DB00742,intracranial hypertension,TxGNN Knowledge Graph
EMEA/H/C/001252,Bronchitol,MANNITOL,DB00742,congestive heart failure,TxGNN Knowledge Graph
EMEA/H/C/001252,Bronchitol,MANNITOL,DB00742,ocular hypertension,TxGNN Knowledge Graph
EMEA/H/C/001252,Bronchitol,MANNITOL,DB00742,brain edema,TxGNN Knowledge Graph
EMEA/H/C/001252,Bronchitol,MANNITOL,DB00742,pseudotumor cerebri,TxGNN Knowledge Graph
EMEA/H/C/003791,Imbruvica,IBRUTINIB,DB09053,lymphosarcoma,TxGNN Knowledge Graph
EMEA/H/C/003791,Imbruvica,IBRUTINIB,DB09053,acute lymphoblastic/lymphocytic leukemia,TxGNN Knowledge Graph
EMEA/H/C/003791,Imbruvica,IBRUTINIB,DB09053,Richter syndrome,TxGNN Knowledge Graph
EMEA/H/C/003791,Imbruvica,IBRUTINIB,DB09053,B-cell neoplasm,TxGNN Knowledge Graph
EMEA/H/C/003791,Imbruvica,IBRUTINIB,DB09053,Waldenstrom macroglobulinemia,TxGNN Knowledge Graph
EMEA/H/C/003791,Imbruvica,IBRUTINIB,DB09053,macroglobulinemia,TxGNN Knowledge Graph
EMEA/H/C/003791,Imbruvica,IBRUTINIB,DB09053,graft versus host disease,TxGNN Knowledge Graph
EMEA/H/C/003900,Pregabalin Zentiva,PREGABALIN,DB00230,fibromyalgia,TxGNN Knowledge Graph
EMEA/H/C/003900,Pregabalin Zentiva,PREGABALIN,DB00230,myofascial pain syndrome,TxGNN Knowledge Graph
EMEA/H/C/003900,Pregabalin Zentiva,PREGABALIN,DB00230,postherpetic neuralgia,TxGNN Knowledge Graph
EMEA/H/C/001250,Orphacol,CHOLIC ACID,DB02659,choledocholithiasis,TxGNN Knowledge Graph
EMEA/H/C/001250,Orphacol,CHOLIC ACID,DB02659,cerebrotendinous xanthomatosis,TxGNN Knowledge Graph
EMEA/H/C/001250,Orphacol,CHOLIC ACID,DB02659,cholelithiasis,TxGNN Knowledge Graph
EMEA/H/C/001250,Orphacol,CHOLIC ACID,DB02659,biliary tract disease,TxGNN Knowledge Graph
EMEA/H/C/001250,Orphacol,CHOLIC ACID,DB02659,constipation disorder,TxGNN Knowledge Graph
EMEA/H/C/001250,Orphacol,CHOLIC ACID,DB02659,cholecystolithiasis,TxGNN Knowledge Graph
EMEA/H/C/001250,Orphacol,CHOLIC ACID,DB02659,obstructive jaundice,TxGNN Knowledge Graph
EMEA/H/C/004909,Dovato,LAMIVUDINE,DB00709,AIDS,TxGNN Knowledge Graph
EMEA/H/C/004909,Dovato,LAMIVUDINE,DB00709,chronic hepatitis B virus infection,TxGNN Knowledge Graph
EMEA/H/C/004865,Hefiya,ADALIMUMAB,DB00051,juvenile idiopathic arthritis,TxGNN Knowledge Graph
EMEA/H/C/004865,Hefiya,ADALIMUMAB,DB00051,Crohn's colitis,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,osteoarthritis susceptibility,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,headache disorder,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,osteoarthritis,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,rheumatoid arthritis,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,spondyloarthropathy,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,juvenile idiopathic arthritis,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,arthropathy,TxGNN Knowledge Graph
EMEA/H/C/006129,Ibuprofen Gen.Orph,IBUPROFEN,DB01050,juvenile arthritis due to defect in LACC1,TxGNN Knowledge Graph
EMEA/H/C/006491,Emtricitabine / Rilpivirine / Tenofovir Alafenamide Viatris,EMTRICITABINE,DB00879,AIDS,TxGNN Knowledge Graph
EMEA/H/C/001180,"Vantavo (previously Alendronate sodium and colecalciferol, MSD)",ALENDRONIC ACID,DB00630,juvenile Paget disease,TxGNN Knowledge Graph
EMEA/H/C/001180,"Vantavo (previously Alendronate sodium and colecalciferol, MSD)",ALENDRONIC ACID,DB00630,bone Paget disease,TxGNN Knowledge Graph
EMEA/H/C/003833,Glyxambi,EMPAGLIFLOZIN,DB09038,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/003833,Glyxambi,LINAGLIPTIN,DB08882,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/002279,Jentadueto,LINAGLIPTIN,DB08882,type 2 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/002279,Jentadueto,METFORMIN,DB00331,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/002279,Jentadueto,METFORMIN,DB00331,type 2 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/000318,Foscan,TEMOPORFIN,DB11630,head and neck cancer,TxGNN Knowledge Graph
EMEA/H/C/000318,Foscan,TEMOPORFIN,DB11630,upper aerodigestive tract neoplasm,TxGNN Knowledge Graph
EMEA/H/C/000318,Foscan,TEMOPORFIN,DB11630,head and neck neoplasm,TxGNN Knowledge Graph
EMEA/H/C/006279,Kyinsu,SEMAGLUTIDE,DB13928,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,primary peritoneal carcinoma (disease),TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,desmoplastic small round cell tumor,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,breast neoplasm,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,primary peritoneal serous/papillary carcinoma,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,undifferentiated carcinoma of the corpus uteri,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,breast cancer,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,hereditary breast carcinoma,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,squamous cell carcinoma of the corpus uteri,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,primary malignant peritoneal tumor,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,hereditary breast ovarian cancer syndrome,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,cervical cancer,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,cervical adenocarcinoma,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,glioma susceptibility,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,fallopian tube cancer,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,metastatic malignant neoplasm in the colon,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,malignant epithelial tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,cervical carcinoma,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,peritoneum cancer,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,fallopian tube carcinoma,TxGNN Knowledge Graph
EMEA/H/C/005723,Lytenava,BEVACIZUMAB,DB00112,glioblastoma (disease),TxGNN Knowledge Graph
EMEA/H/C/001068,Exforge HCT,VALSARTAN,DB00177,hypertensive disorder,TxGNN Knowledge Graph
EMEA/H/C/001068,Exforge HCT,HYDROCHLOROTHIAZIDE,DB00999,hypertensive disorder,TxGNN Knowledge Graph
EMEA/H/C/001068,Exforge HCT,HYDROCHLOROTHIAZIDE,DB00999,congestive heart failure,TxGNN Knowledge Graph
EMEA/H/C/001159,Copalia HCT,AMLODIPINE,DB00381,hypertensive disorder,TxGNN Knowledge Graph
EMEA/H/C/001159,Copalia HCT,AMLODIPINE,DB00381,cerebrovascular disorder,TxGNN Knowledge Graph
EMEA/H/C/001159,Copalia HCT,AMLODIPINE,DB00381,obsolete susceptibility to ischemic stroke,TxGNN Knowledge Graph
EMEA/H/C/001159,Copalia HCT,AMLODIPINE,DB00381,Prinzmetal angina,TxGNN Knowledge Graph
EMEA/H/C/001159,Copalia HCT,AMLODIPINE,DB00381,cerebral infarction,TxGNN Knowledge Graph
EMEA/H/C/001159,Copalia HCT,AMLODIPINE,DB00381,stroke disorder,TxGNN Knowledge Graph
EMEA/H/C/005033,Insulin aspart Sanofi,INSULIN ASPART,DB01306,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/005033,Insulin aspart Sanofi,INSULIN ASPART,DB01306,diabetic ketoacidosis,TxGNN Knowledge Graph
EMEA/H/C/000670,Exjade,DEFERASIROX,DB01609,beta-thalassemia intermedia,TxGNN Knowledge Graph
EMEA/H/C/000670,Exjade,DEFERASIROX,DB01609,beta-thalassemia HBB/LCRB,TxGNN Knowledge Graph
EMEA/H/C/000670,Exjade,DEFERASIROX,DB01609,beta-thalassemia and related diseases,TxGNN Knowledge Graph
EMEA/H/C/000670,Exjade,DEFERASIROX,DB01609,dominant beta-thalassemia,TxGNN Knowledge Graph
EMEA/H/C/000670,Exjade,DEFERASIROX,DB01609,beta thalassemia,TxGNN Knowledge Graph
EMEA/H/C/000670,Exjade,DEFERASIROX,DB01609,hemoglobinopathy,TxGNN Knowledge Graph
EMEA/H/C/000670,Exjade,DEFERASIROX,DB01609,hereditary persistence of fetal hemoglobin,TxGNN Knowledge Graph
EMEA/H/C/005410,Kesimpta,OFATUMUMAB,DB06650,acute lymphoblastic/lymphocytic leukemia,TxGNN Knowledge Graph
EMEA/H/C/005410,Kesimpta,OFATUMUMAB,DB06650,Richter syndrome,TxGNN Knowledge Graph
EMEA/H/C/000975,Clopidogrel Zentiva (previously Clopidogrel Winthrop),CLOPIDOGREL,DB00758,intracranial embolism,TxGNN Knowledge Graph
EMEA/H/C/000975,Clopidogrel Zentiva (previously Clopidogrel Winthrop),CLOPIDOGREL,DB00758,ST-elevation myocardial infarction,TxGNN Knowledge Graph
EMEA/H/C/000975,Clopidogrel Zentiva (previously Clopidogrel Winthrop),CLOPIDOGREL,DB00758,acute coronary syndrome,TxGNN Knowledge Graph
EMEA/H/C/005001,Yuvanci,TADALAFIL,DB00820,erectile dysfunction (disease),TxGNN Knowledge Graph
EMEA/H/C/005398,Vazkepa,ICOSAPENT ETHYL,DB08887,hypertriglyceridemia (disease),TxGNN Knowledge Graph
EMEA/H/C/000665,DuoTrav,TIMOLOL,DB00373,hypertensive disorder,TxGNN Knowledge Graph
EMEA/H/C/005422,Wegovy,SEMAGLUTIDE,DB13928,type 2 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/005984,Tocilizumab STADA (previously Tofidence),TOCILIZUMAB,DB06273,temporal arteritis,TxGNN Knowledge Graph
EMEA/H/C/005984,Tocilizumab STADA (previously Tofidence),TOCILIZUMAB,DB06273,spondyloarthropathy,TxGNN Knowledge Graph
EMEA/H/C/005984,Tocilizumab STADA (previously Tofidence),TOCILIZUMAB,DB06273,juvenile idiopathic arthritis,TxGNN Knowledge Graph
EMEA/H/C/005984,Tocilizumab STADA (previously Tofidence),TOCILIZUMAB,DB06273,Castleman disease,TxGNN Knowledge Graph
EMEA/H/C/005984,Tocilizumab STADA (previously Tofidence),TOCILIZUMAB,DB06273,Kimura disease,TxGNN Knowledge Graph
EMEA/H/C/005984,Tocilizumab STADA (previously Tofidence),TOCILIZUMAB,DB06273,juvenile arthritis due to defect in LACC1,TxGNN Knowledge Graph
EMEA/H/C/000388,Trisenox,ARSENIC TRIOXIDE,DB01169,myelomonocytic leukemia,TxGNN Knowledge Graph
EMEA/H/C/000388,Trisenox,ARSENIC TRIOXIDE,DB01169,acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22),TxGNN Knowledge Graph
EMEA/H/C/000363,Kineret,ANAKINRA,DB00026,CINCA syndrome,TxGNN Knowledge Graph
EMEA/H/C/000363,Kineret,ANAKINRA,DB00026,cryopyrin-associated periodic syndrome,TxGNN Knowledge Graph
EMEA/H/C/002825,Trulicity,DULAGLUTIDE,DB09045,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/002825,Trulicity,DULAGLUTIDE,DB09045,type 2 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/000337,INOmax,NITRIC OXIDE,DB00435,persistent fetal circulation syndrome,TxGNN Knowledge Graph
EMEA/H/C/000337,INOmax,NITRIC OXIDE,DB00435,congenital alveolar capillary dysplasia,TxGNN Knowledge Graph
EMEA/H/C/004303,Insulin lispro Sanofi,INSULIN LISPRO,DB00046,IDDM 1,TxGNN Knowledge Graph
EMEA/H/C/004303,Insulin lispro Sanofi,INSULIN LISPRO,DB00046,diabetic ketoacidosis,TxGNN Knowledge Graph
EMEA/H/C/004303,Insulin lispro Sanofi,INSULIN LISPRO,DB00046,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/004303,Insulin lispro Sanofi,INSULIN LISPRO,DB00046,type 1 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/004303,Insulin lispro Sanofi,INSULIN LISPRO,DB00046,type 2 diabetes mellitus,TxGNN Knowledge Graph
EMEA/H/C/003819,Zykadia,CERITINIB,DB09063,non-small cell lung carcinoma (disease),TxGNN Knowledge Graph
EMEA/H/C/004449,Biktarvy,BICTEGRAVIR,DB11799,AIDS,TxGNN Knowledge Graph
EMEA/H/C/004449,Biktarvy,TENOFOVIR ALAFENAMIDE,DB09299,AIDS,TxGNN Knowledge Graph
EMEA/H/C/000558,Erbitux,CETUXIMAB,DB00002,malignant colon neoplasm,TxGNN Knowledge Graph
EMEA/H/C/000558,Erbitux,CETUXIMAB,DB00002,colonic neoplasm,TxGNN Knowledge Graph
EMEA/H/C/004042,Genvoya,ELVITEGRAVIR,DB09101,AIDS,TxGNN Knowledge Graph
EMEA/H/C/004042,Genvoya,COBICISTAT,DB09065,AIDS,TxGNN Knowledge Graph
EMEA/H/C/004648,Emgality,GALCANEZUMAB,DB14042,migraine disorder,TxGNN Knowledge Graph
EMEA/H/C/002490,Constella,LINACLOTIDE,DB08890,irritable bowel syndrome,TxGNN Knowledge Graph
EMEA/H/C/002490,Constella,LINACLOTIDE,DB08890,Clostridium difficile colitis,TxGNN Knowledge Graph
EMEA/H/C/002490,Constella,LINACLOTIDE,DB08890,neurocirculatory asthenia,TxGNN Knowledge Graph
EMEA/H/C/001037,Cimzia,CERTOLIZUMAB PEGOL,DB08904,Crohn disease,TxGNN Knowledge Graph
EMEA/H/C/001037,Cimzia,CERTOLIZUMAB PEGOL,DB08904,"spondyloarthropathy, susceptibility to",TxGNN Knowledge Graph
EMEA/H/C/001037,Cimzia,CERTOLIZUMAB PEGOL,DB08904,Crohn's colitis,TxGNN Knowledge Graph
EMEA/H/C/001037,Cimzia,CERTOLIZUMAB PEGOL,DB08904,ankylosing spondylitis,TxGNN Knowledge Graph
EMEA/H/C/003860,Nucala,MEPOLIZUMAB,DB06612,pulmonary eosinophilia,TxGNN Knowledge Graph
EMEA/H/C/003860,Nucala,MEPOLIZUMAB,DB06612,eosinophilic pneumonia,TxGNN Knowledge Graph
EMEA/H/C/006006,Dapagliflozin Viatris,DAPAGLIFLOZIN,DB06292,diabetes mellitus (disease),TxGNN Knowledge Graph
EMEA/H/C/006371,Austedo,DEUTETRABENAZINE,DB12161,juvenile Huntington disease,TxGNN Knowledge Graph
EMEA/H/C/006371,Austedo,DEUTETRABENAZINE,DB12161,McLeod neuroacanthocytosis syndrome,TxGNN Knowledge Graph
EMEA/H/C/006371,Austedo,DEUTETRABENAZINE,DB12161,Huntington disease,TxGNN Knowledge Graph
EMEA/H/C/006371,Austedo,DEUTETRABENAZINE,DB12161,Huntington disease-like,TxGNN Knowledge Graph
EMEA/H/C/006371,Austedo,DEUTETRABENAZINE,DB12161,lingual-facial-buccal dyskinesia,TxGNN Knowledge Graph
EMEA/H/C/006371,Austedo,DEUTETRABENAZINE,DB12161,Huntington disease-like syndrome due to C9ORF72 expansions,TxGNN Knowledge Graph
EMEA/H/C/003803,Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),ARIPIPRAZOLE,DB01238,autism susceptibility 1,TxGNN Knowledge Graph
EMEA/H/C/003803,Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),ARIPIPRAZOLE,DB01238,autism spectrum disorder,TxGNN Knowledge Graph
EMEA/H/C/003803,Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),ARIPIPRAZOLE,DB01238,manic bipolar affective disorder,TxGNN Knowledge Graph
EMEA/H/C/003803,Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),ARIPIPRAZOLE,DB01238,autism (disease),TxGNN Knowledge Graph
EMEA/H/C/002602,Erivedge,VISMODEGIB,DB08828,sweat gland cancer,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,Kaposi's sarcoma (disease),TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,desmoplastic small round cell tumor,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,breast neoplasm,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,malignant dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,malignant germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,ocular hypertension,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,maligant granulosa cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,primary malignant peritoneal tumor,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,malignant sex cord stromal tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,borderline epithelial tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,open-angle glaucoma,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,malignant Sertoli-Leydig cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,yolk sac tumor,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,immature ovarian teratoma,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,"theca steroid-producing cell malignant tumor of ovary, not further specified",TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,hypertensive disorder,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,ovarian carcinosarcoma,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,hypertension,TxGNN Knowledge Graph
EMEA/H/C/000778,Abraxane,PACLITAXEL,DB01229,malignant non-dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,malignant dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,malignant germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,maligant granulosa cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,malignant sex cord stromal tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,borderline epithelial tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,malignant Sertoli-Leydig cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,yolk sac tumor,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,immature ovarian teratoma,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,"theca steroid-producing cell malignant tumor of ovary, not further specified",TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,ovarian carcinosarcoma,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,cervical carcinosarcoma,TxGNN Knowledge Graph
EMEA/H/C/000123,Hycamtin,TOPOTECAN,DB01030,malignant non-dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/004232,Poteligeo,MOGAMULIZUMAB,DB12498,primary cutaneous T-cell lymphoma,TxGNN Knowledge Graph
EMEA/H/C/004232,Poteligeo,MOGAMULIZUMAB,DB12498,mature T-cell and NK-cell non-Hodgkin lymphoma,TxGNN Knowledge Graph
EMEA/H/C/004232,Poteligeo,MOGAMULIZUMAB,DB12498,"peripheral T-cell lymphoma, not otherwise specified",TxGNN Knowledge Graph
EMEA/H/C/004232,Poteligeo,MOGAMULIZUMAB,DB12498,localized pagetoid reticulosis,TxGNN Knowledge Graph
EMEA/H/C/004232,Poteligeo,MOGAMULIZUMAB,DB12498,granulomatous slack skin disease,TxGNN Knowledge Graph
